FOX,0,,,,,,,,,,
TIP,,,,,,,,0,,,
,,,,,,,,,,,
w7d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/28/2016
TSM,,,,,,,,0,,,
CLG,,,1,,,,,,,,
C9,,0,,,,,,,,,
IMT,,,,,,,,,1,,
DIG,,,,,,,0,,,,
NRG,,,,,,,,,,0,
REN,,,,,1,,,,,,
TL,1,,,,,,,,,,
FOX,,,,0,,,,,,,
TIP,,,,,,1,,,,,
,,,,,,,,,,,
w8d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,3/12/2016
TSM,,,,,,,,,,1,
CLG,,,,,,,,0,,,
C9,,,,,,,1,,,,
IMT,,,,,,1,,,,,
DIG,,,,,,,,,0,,
NRG,,,,0,,,,,,,
REN,,,0,,,,,,,,
TL,,1,,,,,,,,,
FOX,,,,,1,,,,,,
TIP,0,,,,,,,,,,
,,,,,,,,,,,
w8d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,3/13/2016
TSM,,,,,,,0,,,,
CLG,,,,,,,,,1,,
C9,,,,,,,,,,1,
IMT,,,,,1,,,,,,
DIG,,,,0,,,,,,,
NRG,,,,,,,,1,,,
REN,1,,,,,,,,,,
TL,,,,,,0,,,,,
FOX,,0,,,,,,,,,
TIP,,,0,,,,,,,,
,,,,,,,,,,,
w9d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,3/16/2016
TSM,,,,0,,,,,,,
CLG,,,,,,1,,,,,
C9,,,,,,,,,1,,
IMT,1,,,,,,,,,,
DIG,,,,,,,,0,,,
NRG,,0,,,,,,,,1,
REN,,,,,,,,,,,
TL,,,,,1,,,,,,
FOX,,,0,,,,,,,,
TIP,,,,,,,0,,,,
,,,,,,,,,,,
w9d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,3/20/2016
TSM,,,,,,0,,,,,
CLG,,,,,1,,,,,,
C9,,,,,,,,0,,,
IMT,,,,,,,,,,1,
DIG,,0,,,,,,,,,
NRG,1,,,,,,,,,,
REN,,,,,,,,,1,1,
TL,,,1,,,,,,,,
FOX,,,,,,,0,,,,
TIP,,,,0,,,0,,,,
