DIG, 13W - 5L, DEFEAT, TIP, VICTORY, 6W - 13L, SUNDAY, FEBRUARY 14, 2016 , DAY 2, WEEK 5
TL, 6W - 12L, VICTORY, REN, DEFEAT, 17W - 1L, SUNDAY, FEBRUARY 14, 2016 , DAY 2, WEEK 5
IMT, 4W - 14L, VICTORY, C9, DEFEATY, 12W - 6L, SUNDAY, FEBRUARY 14, 2016 , DAY 2, WEEK 5
CLG, 9W - 9L, DEFEAT, TSM, VICTORY, 9W - 9L, SUNDAY, FEBRUARY 14, 2016 , DAY 2, WEEK 5
FOX, 10W - 8L, VICTORY, NRG, DEFEAT, 5W - 14L, SUNDAY, FEBRUARY 14, 2016 , DAY 2, WEEK 5
TL, 17W - 1L, DEFEAT, FOX, VICTORY, 6W - 13L, SATURDAY, FEBRUARY 20, 2016 , DAY 1, WEEK 6
CLG, 13W - 5L, VICTORY, TIP, DEFEAT, 6W - 12L, SATURDAY, FEBRUARY 20, 2016 , DAY 1, WEEK 6
TSM, 10W - 8L, DEFEAT, C9, VICTORY, 9W - 9L, SATURDAY, FEBRUARY 20, 2016 , DAY 1, WEEK 6
REN, 12W - 6L, DEFEAT, IMT, VICTORY, 9W - 9L, SATURDAY, FEBRUARY 20, 2016 , DAY 1, WEEK 6
NRG, 5W - 14L, VICTORY, DIG, DEFEAT, 4W - 14L, SATURDAY, FEBRUARY 20, 2016 , DAY 1, WEEK 6
TL, 13W - 5L, DEFEAT, IMT, VICTORY, 6W - 13L, SUNDAY, FEBRUARY 21, 2016 , DAY 2, WEEK 6
TIP, 6W - 12L, DEFEAT, FOX, VICTORY, 17W - 1L, SUNDAY, FEBRUARY 21, 2016 , DAY 2, WEEK 6
NRG, 4W - 14L, DEFEAT, C9, VICTORY, 12W - 6L, SUNDAY, FEBRUARY 21, 2016 , DAY 2, WEEK 6
DIG, 9W - 9L, VICTORY, TSM, DEFEAT, 9W - 9L, SUNDAY, FEBRUARY 21, 2016 , DAY 2, WEEK 6
REN, 10W - 8L, DEFEAT, CLG, VICTORY, 5W - 14L, SUNDAY, FEBRUARY 21, 2016 , DAY 2, WEEK 6
C9, 17W - 1L, VICTORY, DIG, DEFEAT, 6W - 13L, SATURDAY, FEBRUARY 27, 2016 , DAY 1, WEEK 7
NRG, 13W - 5L, VICTORY, REN, DEFEAT, 6W - 12L, SATURDAY, FEBRUARY 27, 2016 , DAY 1, WEEK 7
IMT, 10W - 8L, DEFEAT, CLG, VICTORY, 9W - 9L, SATURDAY, FEBRUARY 27, 2016 , DAY 1, WEEK 7
FOX, 12W - 6L, DEFEAT, TSM, VICTORY, 9W - 9L, SATURDAY, FEBRUARY 27, 2016 , DAY 1, WEEK 7
TIP, 5W - 14L, DEFEAT, TL, VICTORY, 4W - 14L, SATURDAY, FEBRUARY 27, 2016 , DAY 1, WEEK 7
IMT, 13W - 5L, VICTORY, FOX, DEFEAT, 6W - 13L, SUNDAY, FEBRUARY 28, 2016 , DAY 2, WEEK 7
REN, 6W - 12L, VICTORY, DIG, DEFEAT, 17W - 1L, SUNDAY, FEBRUARY 28, 2016 , DAY 2, WEEK 7
TL, 4W - 14L, VICTORY, TSM, DEFEATY, 12W - 6L, SUNDAY, FEBRUARY 28, 2016 , DAY 2, WEEK 7
C9, 9W - 9L, DEFEAT, CLG, VICTORY, 9W - 9L, SUNDAY, FEBRUARY 28, 2016 , DAY 2, WEEK 7
TIP, 10W - 8L, VICTORY, NRG, DEFEAT, 5W - 14L, SUNDAY, FEBRUARY 28, 2016 , DAY 2, WEEK 7
FOX, 17W - 1L, VICTORY, DIG, DEFEAT, 6W - 13L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 8
TSM, 13W - 5L, VICTORY, TIP, DEFEAT, 6W - 12L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 8
CLG, 10W - 8L, DEFEAT, TL, VICTORY, 9W - 9L, SATURDAY, MARCH 12, 2016 , DAY 1, WEEK 8
